Save_DateTime,oLAH54,oPAL65,oSX22,oUX95,oSS86,oTAH98,oPAL75,oPAL41,oPDAH61_62,oPAL62,oPAL51,oTAH76,oTAH62,oLAL68,oLAH68,iZS46,oSAH81,oTDAH25,oTAH27,oTAH26,iTI76,iTI62,iTI51,iTI98_1,iTI98_2,iTI98_3,iPI75,iPI62,iPI51,iPI41,oSX86,oSX40,iPSL62,iTSH76,iZS49,iSSH81,oZS96,oZS97,iLSH92,oSS47A,iTE25_1,iTE25_2,iTE25_3,iTE25_4,iTE25_5,iTE25_6,iTE25_7,iTE25_8,iTE25_9,iTE27,iTE26_1,iTE26_2,iTE26_3,iTE26_4,iTI71,iTI21,iPI71,iPI61,iPI63,iPI21,oSE47,oSE42,iUX95,oSX84,iSS86_3,oPAL71,oPAL63,iLAH92,iAUX,iSX47_2,iSX47_1,oTSH69_67,oTSH69_67A,iTI69_1,iTI69_2,iTI69_3,iTI69_4,iTI69_5,iTI69_6,iTI69_7,iTI69_8,iTI69_9,iTI69_10,iTI69_11,iTI67_1,oTAH67_1,oTAH67_2,oTAH98_1,oTAH98_2,EngStop,StopSolvv,PreLugStart,StartSolvv,FuelLimitSolvv,EmergencySolvv,ReadyToStart,oTah71
2003-11-18 9:05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,72,103,94,96,99,1.88,4.04,5.26,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,415,417,423,423,448,404,0,0,0,383,526,529,0,0,40,48,2.48,5.96,3.64,2.24,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,71,103,93,95,98,1.72,4.08,5.85,7.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,384,389,401,397,415,376,0,0,0,384,492,502,0,0,40,47,2.43,5.99,3.66,1.51,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,71,102,91,93,95,1.74,4.12,8.48,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,371,380,395,392,407,372,0,0,0,397,474,482,0,0,40,47,2.41,6.04,3.79,0.88,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,70,99,88,90,93,1.77,4.16,2.73,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,376,388,400,397,411,377,0,0,0,400,477,480,0,0,39,46,2.34,6.09,3.75,0.91,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,70,93,86,88,90,1.72,4.16,0.86,7.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,385,390,403,400,418,377,0,0,0,396,484,482,0,0,39,46,2.35,6.12,3.81,1.12,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,70,90,85,87,89,1.78,4.19,4.38,7.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,376,385,404,388,416,370,0,0,0,390,478,475,0,0,39,46,2.29,6.13,3.71,1.12,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,70,89,84,85,88,1.87,4.19,2.83,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,380,388,404,393,421,375,0,0,0,393,480,476,0,0,40,46,2.33,6.14,3.7,1.1,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,69,88,83,85,87,1.79,4.19,3.55,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,379,389,405,392,418,381,0,0,0,392,480,475,0,0,40,46,2.29,6.14,3.86,1.11,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,69,87,82,84,86,1.87,3.94,3.1,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,380,388,405,394,418,379,0,0,0,393,481,475,0,0,40,46,2.29,6.15,3.84,1.1,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,87,81,83,85,1.94,4.21,3.01,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,380,388,403,394,416,380,0,0,0,392,480,474,0,0,40,46,2.26,6.15,3.78,1.11,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
