10,384,0.892 ,343 
15,576,0.925 ,533 
20,768,0.937 ,720 
25,960,0.948 ,910 
30,1152,0.960 ,1106 
35,1344,0.964 ,1296 
40,1536,0.966 ,1484 
45,1728,0.968 ,1673 
50,1920,0.970 ,1862 
55,2112,0.972 ,2053 
60,2304,0.974 ,2244 
65,2496,0.975 ,2434 
70,2688,0.975 ,2621 
75,2880,0.975 ,2808 
80,3072,0.975 ,2995 
85,3264,0.975 ,3182 
90,3456,0.975 ,3370 
95,3648,0.975 ,3557 
100,3840,0.975 ,3744 
105,4032,0.975 ,3931 
110,4224,0.975 ,4118 
