0 0
0.11 0.1206977
0.219 0.2385195
0.328 0.352833
0.438 0.4629306
0.547 0.5651981
0.657 0.6599852
0.766 0.7441874
0.875 0.8174834
0.985 0.8793191
1.094 0.9276865
1.203 0.9625217
1.313 0.9834713
1.422 0.9898851
1.532 0.9818274
1.641 0.9596091
1.75 0.9235977
1.86 0.8738625
1.969 0.8120898
2.078 0.7388467
2.188 0.6544493
2.297 0.5617192
2.407 0.4603905
2.516 0.3538325
2.625 0.2427565
2.735 0.1277678
2.844 0.01266234
2.953 -0.1018949
3.063 -0.2152375
3.172 -0.3236551
3.282 -0.4275373
3.391 -0.5235085
3.5 -0.6111795
3.61 -0.689993
3.719 -0.7574337
3.828 -0.8133576
3.938 -0.8573806
4.047 -0.8881625
4.157 -0.9059228
4.266 -0.9101996
4.375 -0.9012783
4.485 -0.8791607
4.594 -0.844706
4.703 -0.7984093
4.813 -0.7405057
4.922 -0.6730226
5.032 -0.5958529
5.141 -0.5116413
5.25 -0.4210603
5.36 -0.3246306
5.469 -0.2255906
