6.61	11.91
6.78	11.91
6.94	11.91
7.11	11.91
7.27	11.91
7.44	12.00
7.60	12.00
7.77	12.00
8.10	12.00
8.43	12.00
8.93	12.00
9.26	12.09
9.59	12.18
9.92	12.28
10.25	12.28
10.58	12.46
10.91	12.55
11.24	12.55
11.57	12.65
11.90	12.74
12.56	12.83
12.89	12.92
13.72	13.11
14.21	13.20
15.54	13.48
16.53	13.85
17.52	14.03
18.18	14.31
19.01	14.58
20.00	14.77
20.99	15.05
21.49	15.14
22.31	15.42
22.81	15.60
23.80	15.78
24.46	15.97
25.45	16.15
26.28	16.52
27.27	16.80
28.10	17.17
29.09	17.54
29.75	17.91
30.58	18.28
31.40	18.55
32.40	19.20
33.39	19.66
34.05	20.12
35.04	20.68
36.03	21.23
36.86	21.88
37.52	22.62
38.18	22.98
38.84	23.54
39.50	24.09
40.17	24.55
40.50	25.11
40.83	25.57
41.65	26.22
41.82	26.49
41.98	26.77
42.31	26.95
