2016-03-30 오전 9:43:28 ==> 10.61,,0.00
2016-03-30 오전 9:43:29 ==> 10.61,,0.00
2016-03-30 오전 9:43:30 ==> 10.61,,0.00
2016-03-30 오전 9:43:32 ==> 10.61,,0.00
2016-03-30 오전 9:43:33 ==> 10.61,,0.00
2016-03-30 오전 9:43:35 ==> 10.61,,0.00
2016-03-30 오전 9:43:36 ==> 10.61,,0.00
2016-03-30 오전 9:43:37 ==> 10.61,,0.00
2016-03-30 오전 9:43:38 ==> 10.61,,0.00
2016-03-30 오전 9:43:41 ==> 10.61,,0.00
2016-03-30 오전 9:43:42 ==> 10.61,,0.00
2016-03-30 오전 9:43:44 ==> 10.61,,0.00
2016-03-30 오전 9:43:45 ==> 10.61,,0.00
2016-03-30 오전 9:44:52 ==> 2.62,10.61,0.00
2016-03-30 오전 9:44:53 ==> 2.62,10.61,0.00
2016-03-30 오전 9:44:55 ==> 2.62,10.61,0.00
2016-03-30 오전 9:44:56 ==> 2.62,10.61,0.00
2016-03-30 오전 9:44:57 ==> 2.62,10.61,0.00
2016-03-30 오전 9:44:59 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:00 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:01 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:02 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:04 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:05 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:06 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:10 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:11 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:12 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:13 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:14 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:15 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:16 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:18 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:20 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:21 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:22 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:23 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:25 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:26 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:28 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:29 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:30 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:32 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:33 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:34 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:36 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:37 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:38 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:39 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:41 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:42 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:43 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:44 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:45 ==> 2.62,10.61,0.00
2016-03-30 오전 9:45:47 ==> 2.62,10.61,0.00
