TAG_NAME;DESCRIPT;SID;ADDR;CNT;ALARM;MAXVAL;CONTACT
01B6;ECM3 Driver Supply Voltage High Alarm;401;01B6;8;FALSE;0;1
01B7;ECM3 Driver Supply Voltage Low Alarm;402;01B7;8;FALSE;0;1
01B8;ECM3 Driver System Alarm;403;01B8;8;FALSE;0;1
01B9;ECM3 Driver Temperature High Alarm;404;01B9;8;FALSE;0;1
01BA;ECM3 Minor alarm;405;01BA;8;FALSE;0;1
01BB;ECM3 MUX Injection Limit Alarm;406;01BB;8;FALSE;0;1
01BC;ECM3 MUX Over-Current Alarm;407;01BC;8;FALSE;0;1
01BD;ECM3 Open-Coil Alarm A;408;01BD;8;FALSE;0;1
01BE;ECM3 Open-Coil Alarm B;409;01BE;8;FALSE;0;1
01BF;ECM3 Over-Current Alarm A;410;01BF;8;FALSE;0;1
01C0;ECM3 Over-Current Alarm B;411;01C0;8;FALSE;0;1
01C1;ECS Internal Alarm;412;01C1;8;FALSE;0;1
01C2;Self monitoring (1.5 V);413;01C2;8;FALSE;0;1
01C3;Self monitoring (1.5 V);414;01C3;8;FALSE;0;1
01C4;Self monitoring (2.5 V);415;01C4;8;FALSE;0;1
01C5;Self monitoring (2.5 V);416;01C5;8;FALSE;0;1
01C6;Self monitoring (3.3 V);417;01C6;8;FALSE;0;1
01C7;Self monitoring (3.3 V);418;01C7;8;FALSE;0;1
01C8;Self monitoring (3.3 V internal);419;01C8;8;FALSE;0;1
01C9;Self monitoring (3.3 V internal);420;01C9;8;FALSE;0;1
01CA;Self monitoring (5.0 V);421;01CA;8;FALSE;0;1
01CB;Self monitoring (5.0 V);422;01CB;8;FALSE;0;1
01CC;Self monitoring (T 15);423;01CC;8;FALSE;0;1
01CD;Self monitoring (T 15);424;01CD;8;FALSE;0;1
01CE;Self monitoring (T 16);425;01CE;8;FALSE;0;1
01CF;Self monitoring (T 16);426;01CF;8;FALSE;0;1
01D0;Self monitoring (T 17);427;01D0;8;FALSE;0;1
01D1;Self monitoring (T 17);428;01D1;8;FALSE;0;1
01D2;Long-run controlled shutdown;429;01D2;8;FALSE;0;1
01D3;Power reduction to safe power;430;01D3;8;FALSE;0;1
01D4;Temporary controlled shutdown;431;01D4;8;FALSE;0;1
01D5;TDC sensor error;432;01D5;8;FALSE;0;1
01D6;TDC mixed up with flywheel sugnal;433;01D6;8;FALSE;0;1
01D7;SIC Even Energy Level out of Range;434;01D7;8;FALSE;0;1
01D8;SIC Global timing out of range;435;01D8;8;FALSE;0;1
01D9;SIC Individual Timing out of Range;436;01D9;8;FALSE;0;1
01DA;SIC Warning Missing Camshaft Signal;437;01DA;8;FALSE;0;1
01DB;SIC Warning Missing Reset Signal;438;01DB;8;FALSE;0;1
01DC;SIC Warning Missing Ring Gear Signal;439;01DC;8;FALSE;0;1
01DD;SIC Odd Energy Level out of Range;440;01DD;8;FALSE;0;1
01DE;SIC Open primary A;441;01DE;8;FALSE;0;1
01DF;SIC Open primary B;442;01DF;8;FALSE;0;1
01E0;SIC Wait for 0 RPM;443;01E0;8;FALSE;0;1
01E1;Flywheel tooth number fault;444;01E1;8;FALSE;0;1
01E2;Knock control: speed signal error;445;01E2;8;FALSE;0;1
01E3;Collective alarm ignition system;446;01E3;8;FALSE;0;1
01E4;PLC Application collective alarm;447;01E4;8;FALSE;0;1
0303;E802 Analogous demand;448;0303;8;FALSE;0;1
0304;Configurable measured value 01;449;0304;8;FALSE;0;1
0305;Configurable measured value 02;450;0305;8;FALSE;0;1
0306;Configurable measured value 03;451;0306;8;FALSE;0;1
0307;Configurable measured value 04;452;0307;8;FALSE;0;1
030D;FT50 Gas flow;453;030D;8;FALSE;0;1
030E;ZT23-A throttle valve position;454;030E;8;FALSE;0;1
030F;ZT23-B throttle valve position;455;030F;8;FALSE;0;1
031D;PT24 Boost;456;031D;8;FALSE;0;1
031E;P551 Boost B;457;031E;8;FALSE;0;1
0324;SE42-A1 T/C speed;458;0324;8;FALSE;0;1
0326;SE42-b1 T/C speed;459;0326;8;FALSE;0;1
0353;TE20 Ambient;460;0353;8;FALSE;0;1
